country,year,primary_energy_consumption,fossil_fuel_consumption,renewables_consumption,coal_consumption,oil_consumption,gas_consumption,renewables_share_energy,fossil_share_energy,energy_per_gdp,carbon_intensity_elec
India,2000,3725.401123046875,3442.302978515625,224.1593475341797,1911.166259765625,1277.509765625,253.62693786621097,6.04160213470459,92.7778549194336,1.3283756971359253,740.03997802734375
India,2001,3740.87353515625,3462.326416015625,212.1622314453125,1926.953125,1281.0958251953125,254.27748107910156,5.693082809448242,92.9067840576172,1.272083401679993,747.3900146484375
India,2002,3870.80859375,3602.576416015625,201.23098754882813,2012.7899169921875,1324.2423095703125,265.54412841796875,5.217525482177734,93.40775299072266,1.27961266040802,755.760009765625
India,2003,4008.7099609375,3739.9462890625,205.48501586914065,2107.983642578125,1347.6937255859375,284.26898193359375,5.143730163574219,93.6188735961914,1.233026385307312,758.010009765625
India,2004,4352.6513671875,3977.076416015625,298.4032287597656,2243.528564453125,1426.8564453125,306.69140625,6.886624336242676,91.783966064453125,1.2453856468200684,723.78997802734375
India,2005,4608.4169921875,4249.498046875,291.8139953613281,2456.11328125,1450.1282958984375,343.25634765625,6.359037399291992,92.60253143310548,1.228050708770752,734.030029296875
India,2006,4854.86669921875,4440.67626953125,344.7429504394531,2549.86474609375,1532.0394287109375,358.7718811035156,7.133749961853027,91.89070892333984,1.192884087562561,723.03997802734375
India,2007,5268.9599609375,4815.8564453125,381.6436462402344,2790.2724609375,1637.4815673828125,388.10260009765625,7.276436805725098,91.8193588256836,1.196616530418396,717.8699951171875
India,2008,5576.52880859375,5139.8974609375,372.70361328125,3020.761962890625,1719.2587890625,399.8766784667969,6.712008953094482,92.56427001953124,1.19937002658844,733.08001708984375
India,2009,5988.3896484375,5566.13671875,355.86181640625,3268.265625,1806.7904052734375,491.0808410644531,5.964695453643799,93.2955093383789,1.1992419958114624,744.54998779296875
India,2010,6247.89013671875,5786.57861328125,376.9512023925781,3348.546142578125,1848.4161376953125,589.6162109375,6.056765079498291,92.97740936279295,1.1653529405593872,739.42999267578125
India,2011,6587.01025390625,6017.4873046875,456.895263671875,3478.864013671875,1935.7647705078125,602.8587646484375,6.967135429382324,91.75987243652344,1.1514357328414917,722.1099853515625
India,2012,6937.76806640625,6396.478515625,429.0638122558594,3787.818115234375,2051.669677734375,556.99090576171875,6.208459854125977,92.55564880371094,1.1462786197662354,742.8599853515625
India,2013,7163.0615234375,6565.57763671875,481.4220886230469,4009.72900390625,2065.655517578125,490.1929931640625,6.749992370605469,92.05560302734376,1.1149652004241943,738.989990234375
India,2014,7652.73193359375,7011.5830078125,520.3690185546875,4401.0732421875,2125.494140625,485.01568603515625,6.828800201416016,92.01297760009766,1.113094449043274,743.219970703125
India,2015,7892.48974609375,7264.5771484375,499.72650146484375,4490.47021484375,2296.03857421875,478.0683898925781,6.356804370880127,92.40953826904295,1.067776083946228,750.6300048828125
India,2016,8262.8564453125,7609.86376953125,524.18505859375,4587.6923828125,2514.26171875,507.9098205566406,6.369764804840088,92.47314453125,1.0254907608032229,751.8699951171875
India,2017,8571.6708984375,7861.3515625,579.7371826171875,4737.15673828125,2588.196044921875,535.99859619140625,6.79276704788208,92.11127471923828,1.0025311708450315,743.09002685546875
India,2018,9063.3603515625,8266.076171875,659.31048583984375,4981.6015625,2704.51220703125,579.9627685546875,7.3073811531066895,91.615966796875,0.9880258440971376,737.719970703125
India,2019,9281.5947265625,8373.4677734375,748.695068359375,4989.0234375,2791.9462890625,592.49847412109375,8.108067512512207,90.6812973022461,0.967289924621582,722.65997314453125
India,2020,8792.2197265625,7856.12548828125,777.56512451171875,4714.671875,2537.8525390625,603.6011962890625,8.892712593078613,89.84748077392578,0.9828855991363524,709.05999755859375
India,2021,9544.96875,8565.3505859375,822.00738525390625,5352.7919921875,2588.831298828125,623.72705078125,8.656782150268555,90.20402526855467,0.9738153219223022,715.34002685546875
India,2022,10059.4775390625,8948.373046875,942.53631591796875,5561.33447265625,2804.5302734375,582.50848388671875,9.421208381652832,89.44429016113281,0.960217535495758,705.75
